,year,month,day,Date,DateTime,hora_inicio,cantidad_pasos,sentido_prov,vehiculo_liv,weekday,season,hour,holiday,non_working,time_of_day
177,2017,1,8,2017-01-08,2017-01-08 09:00:00,9,1047.0,0.46153846153846156,0.3076923076923077,Sunday,Summer,9,0,non-working,morning
178,2017,1,8,2017-01-08,2017-01-08 10:00:00,10,1338.0,0.46153846153846156,0.3076923076923077,Sunday,Summer,10,0,non-working,morning
179,2017,1,8,2017-01-08,2017-01-08 11:00:00,11,1758.0,0.3333333333333333,0.3333333333333333,Sunday,Summer,11,0,non-working,morning
180,2017,1,8,2017-01-08,2017-01-08 12:00:00,12,2000.0,0.45454545454545453,0.36363636363636365,Sunday,Summer,12,0,non-working,morning
181,2017,1,8,2017-01-08,2017-01-08 13:00:00,13,1876.0,0.38461538461538464,0.3076923076923077,Sunday,Summer,13,0,non-working,afternoon
182,2017,1,8,2017-01-08,2017-01-08 14:00:00,14,1739.0,0.38461538461538464,0.3076923076923077,Sunday,Summer,14,0,non-working,afternoon
183,2017,1,8,2017-01-08,2017-01-08 15:00:00,15,1789.0,0.42857142857142855,0.2857142857142857,Sunday,Summer,15,0,non-working,afternoon
184,2017,1,8,2017-01-08,2017-01-08 16:00:00,16,2112.0,0.4,0.26666666666666666,Sunday,Summer,16,0,non-working,evening
185,2017,1,8,2017-01-08,2017-01-08 17:00:00,17,2345.0,0.4166666666666667,0.3333333333333333,Sunday,Summer,17,0,non-working,evening
186,2017,1,8,2017-01-08,2017-01-08 18:00:00,18,2362.0,0.42857142857142855,0.2857142857142857,Sunday,Summer,18,0,non-working,evening
187,2017,1,8,2017-01-08,2017-01-08 19:00:00,19,2543.0,0.42857142857142855,0.2857142857142857,Sunday,Summer,19,0,non-working,evening
188,2017,1,8,2017-01-08,2017-01-08 20:00:00,20,2447.0,0.4166666666666667,0.3333333333333333,Sunday,Summer,20,0,non-working,evening
189,2017,1,8,2017-01-08,2017-01-08 21:00:00,21,2157.0,0.46153846153846156,0.3076923076923077,Sunday,Summer,21,0,non-working,evening
190,2017,1,8,2017-01-08,2017-01-08 22:00:00,22,1690.0,0.5454545454545454,0.36363636363636365,Sunday,Summer,22,0,non-working,night
